chebi_id,name,n_reactions,share_of_reactions,smiles
CHEBI:57371, butanoyl-CoA,37,0.001994,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:57817, sphinganine,37,0.001994,CCCCCCCCCCCCCCC[C@@H](O)[C@@H]([NH3+])CO
CHEBI:58369, dTDP,37,0.001994,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]c1=O
CHEBI:16763, 2-oxobutanoate,36,0.001940,CCC(=O)C(=O)[O-]
CHEBI:57834, spermidine,36,0.001940,[NH3+]CCCC[NH2+]CCC[NH3+]
CHEBI:57880," a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol)",36,0.001940,*C(=O)OC[C@H](COP(=O)([O-])O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O)OC(*)=O
CHEBI:74483,,36,0.001940,*O[C@H]1[C@@H](O)[C@H](n2cc(C)c(N)nc2=O)O[C@@H]1COP(*)(=O)[O-]
CHEBI:17509, S-methyl-5'-thioadenosine,35,0.001886,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEBI:295975, phosphocholine,35,0.001886,C[N+](C)(C)CCOP(=O)([O-])[O-]
CHEBI:57875, a 2-acyl-sn-glycero-3-phosphocholine,35,0.001886,[1*]C(=O)O[C@H](CO)COP(=O)([O-])OCC[N+](C)(C)C
CHEBI:57959, L-kynurenine,35,0.001886,Nc1ccccc1C(=O)C[C@H]([NH3+])C(=O)[O-]
CHEBI:57966, beta-alanine,35,0.001886,[NH3+]CCC(=O)[O-]
CHEBI:59776, D-glyceraldehyde 3-phosphate,35,0.001886,O=C[C@H](O)COP(=O)([O-])[O-]
CHEBI:77636, a fatty acyl-CoA,35,0.001886,*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:15589, (S)-malate,34,0.001832,O=C([O-])C[C@H](O)C(=O)[O-]
CHEBI:16382, iodide,34,0.001832,[I-]
CHEBI:30807, tetradecanoate,34,0.001832,CCCCCCCCCCCCCC(=O)[O-]
CHEBI:57756, sphing-4-enine,34,0.001832,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H]([NH3+])CO
CHEBI:57926, L-threonine,34,0.001832,C[C@@H](O)[C@H]([NH3+])C(=O)[O-]
CHEBI:16947, citrate,33,0.001778,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
CHEBI:17879, 4-hydroxybenzoate,33,0.001778,O=C([O-])c1ccc(O)cc1
CHEBI:18005, 3-phenylpyruvate,33,0.001778,O=C([O-])C(=O)Cc1ccccc1
CHEBI:18262, dodecanoate,33,0.001778,CCCCCCCCCCCC(=O)[O-]
CHEBI:4139, D-galactose,33,0.001778,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
CHEBI:15441," (S)-2,3-epoxysqualene",32,0.001724,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C
CHEBI:16651, (S)-lactate,32,0.001724,C[C@H](O)C(=O)[O-]
CHEBI:61961,,32,0.001724,*N[C@@H](CCCC[N+](C)(C)C)C(*)=O
CHEBI:85033,,32,0.001724,[Co+]
CHEBI:30013,,31,0.001670,*N[C@H](C(*)=O)[C@@H](C)O
CHEBI:57386, octanoyl-CoA,31,0.001670,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:57632, UDP-alpha-D-xylose,31,0.001670,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:60039, L-proline,31,0.001670,O=C([O-])[C@@H]1CCC[NH2+]1
CHEBI:65314,,31,0.001670,*O[C@H]1[C@@H](O)[C@H](c2c[nH]c(=O)[nH]c2=O)O[C@@H]1COP(*)(=O)[O-]
